Folio CFI,Empacadora,Fecha expedición,Tipo,Oficial,Folio RPV,Tercero especialista,Tercería,Producto,Variedad,Transporte,Cantidad,Uni. Medida,Mpio. Origen,País Destino,Estado destino,Mpio. Destino,Puerto de entrada,Estatus,No. cajas,Referencia,Observaciones,Justificación,Id Predicción,Id Continente,Continente
3647755,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Mazamitla. San Gabriel,Japón,Tokio,,,Original,,,,,1,4,Asia,,,
3647754,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Mazamitla,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647753,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Gómez Farías. La Manzanilla De La paz. Mazamitla. Tuxpan. Zapotlán El Grande,Canadá,Calgary,,,Original,,,,,3,2,América,Sandra Barrera Robles,,
3647752,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Mazamitla,Canadá,Calgary,,,Original,,,,,3,2,América,Sandra Barrera Robles,,
3647747,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,21.696.0000,Kilogramos,Gómez Farías. Zapotlán El Grande,Japón,Chiba,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647744,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/31,Internacional,,Aguacate,,,18.560.0000,Kilogramos,Gómez Farías,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647743,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/31,Internacional,,Aguacate,,,18.560.0000,Kilogramos,Gómez Farías,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3453853,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,2.531.2000,Kilogramos,,Emiratos Árabes Unidos,Dubai,,,Original,,,,,4,1,Medio Oriente,Roberto Medina Lara,,
3453852,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,18.976.0000,Kilogramos,Mazamitla. San Gabriel,Japón,Kobe,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453851,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,3.164.0000,Kilogramos,La Manzanilla De La paz. Mazamitla,Reino de Bahréin,Bahrein,,,Original,,,,,4,1,Medio Oriente,Roberto Medina Lara,,
230028511,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,18.080.0000,Kilogramos,San Gabriel,Estados Unidos,California,,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
230028461,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,California,,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230028457,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/31,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías. San Gabriel. Tapalpa,Estados Unidos,Texas,Pharr,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
3714438,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,16.830.0000,Kilogramos,,Canadá,Calgary,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,,
3714437,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Gómez Farías. Mazamitla. San Gabriel. Tuxpan. Zapotlán El Grande,Canadá,Ontario,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,,
3714432,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/30,Internacional,,Aguacate,,,15.360.0000,Kilogramos,Tapalpa,España,Barcelona,,,Original,,,,,2,3,Europa,Jessica Cuevas Domínguez,,
3714431,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/30,Internacional,,Aguacate,,,17.028.0000,Kilogramos,Concepción De Buenos Aires. Mazamitla. Tapalpa. Zapotlán El Grande,Canadá,Quebec,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,,
3714428,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714427,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714426,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3647742,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,16.830.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan,Canadá,Ontario,,,Original,,,,,3,2,América,Sandra Barrera Robles,DESCONOCIDO,DESCONOCIDO
3454233,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,17.028.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan. Zapotlán El Grande,Canadá,Quebec,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
