Folio CFI,Empacadora,Fecha expedición, Tipo, Expedidor del CFI, Folio RPV, Expedidor del RPV, Verificación, Producto,Variedad, Transporte,Cantidad,Uni. Medida, Mpio. Origen,País Destino, Estado destino, Mpio. Destino, Regulación, Estatus, No. cajas, Referencia, Observaciones
1,Andrea Martínez Méndez, 2016-01-01, Internacional, Isabella Rodríguez Molina, JSB63-SHF6, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,8763,Kilogramos, Ameca,Alemania, Berlín, Spandau, KJAG, Original,200, , 
2,Marco Antonio Trujillo, 2017-02-01, Internacional, Andrea López Gonzales, JKKS72-NDSY6, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,8636,Kilogramos, Arandas,Alemania, Berlín, Spandau, KJAG, Original,800, , 
3,David Preciado Aguilar, 2018-03-01, Internacional, Isabella Rodríguez Molina, JS63-GTDJU, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,9284,Kilogramos, Zapotiltic,Alemania, Berlín, Spandau, KJAG, Original,600, , 
4,Andrea Martínez Méndez, 2016-04-01, Internacional, Isabella Rodríguez Molina, HDN-NHSUG, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,8256,Kilogramos, Tuxpan,Arabia Saudita, Riad, Dhahran, IRNS, Original,700, , 
5,Marco Antonio Trujillo, 2017-05-01, Internacional, Andrea López Gonzales, JS-DHGS, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,9255,Kilogramos, Tamazula,Arabia Saudita, Riad, Dhahran, IRNS, Original,900, , 
6,David Preciado Aguilar, 2018-06-01, Internacional, Isabella Rodríguez Molina, KSYNB-NHSGG, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,10163,Kilogramos, Cd. Guzmán,Arabia Saudita, Riad, Dhahran, IRNS, Original,300, , 
7,Andrea Martínez Méndez, 2019-07-01, Internacional, Isabella Rodríguez Molina, SYGFD-SYFYW, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,10297,Kilogramos, Ameca,Argentina, Buenos Aires, Bolívar, UNSK, Original,600, , 
8,Marco Antonio Trujillo, 2020-08-01, Internacional, Andrea López Gonzales, HT345-N36H, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,11098,Kilogramos, Arandas,Argentina, Buenos Aires, Bolívar, UNSK, Original,100, , 
9,David Preciado Aguilar, 2021-09-01, Internacional, Isabella Rodríguez Molina, HJD62-4H6YD, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,11748,Kilogramos, Zapotiltic,Argentina, Buenos Aires, Bolívar, UNSK, Original,900, , 
13,Andrea Martínez Méndez, 2016-01-01, Internacional, Isabella Rodríguez Molina, NSD862-ND76, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,9636,Kilogramos, Ameca,Canadá, Quebec, Quebec, JDHS, Original,900, , 
14,Marco Antonio Trujillo, 2017-02-01, Internacional, Andrea López Gonzales, 7UHD-NY36, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,10229,Kilogramos, Arandas,Canadá, Quebec, Quebec, JDHS, Original,700, , 
