Folio CFI,Empacadora,Fecha expedición,Tipo,Oficial,Folio RPV,Tercero especialista,Tercería,Producto,Variedad,Transporte,Cantidad,Uni. Medida,Mpio. Origen,País Destino,Estado destino,Mpio. Destino,Puerto de entrada,Estatus,No. cajas,Referencia,Observaciones,Justificación,Id Predicción,Id Continente,Continente
1000,Andrea Martínez Méndez,01/01/2020,Internacional,Isabella Rodríguez Molina,A90K7154U2X5-TNP69RJ0LMZ3CDB1HOYIEWQ4,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,1840,Kilogramos,Acatic; Acatlán De Juárez; Ahualulco De Mercado; Amacueca,Canada,Quebec,Montreal,Montreal,Original,184,,,,3,2,America
1001,Andrea Martínez Méndez,01/01/2020,Internacional,Andrea López Gonzales,3FA0O7SVML9K-6IE5J70HYP4Q912GZW4TB8N6,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,5048,Kilogramos,Amatitán; Ameca; Arandas; San Juanito De Escob,Reino Unido,Essex,Essex,Essex,Original,505,,,,2,3,Europa
1002,Andrea Martínez Méndez,01/01/2020,Internacional,Sandra Barrera Robles,8XLJCR925Q51-FMZGB8200P4VI7WYK6AE39US,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,8120,Kilogramos,Atemajac De Brizuela; El Arenal,Corea,Seúl,Yeongdeungpo-gu,Yeongdeungpo-gu,Original,812,,,,4,4,Asia
1003,Andrea Martínez Méndez,01/01/2020,Internacional,Berenice Bernardino Padilla,8CS4AIBJ02YT-XL9M9N47FZ586OQP201H5E36,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,4450,Kilogramos,Atengo; Atenguillo,El Salvador,San Salvador,San Salvador,San Salvador,Original,445,,,,4,2,America
1004,Andrea Martínez Méndez,01/01/2020,Internacional,Francisco Fernández Villa,7U66203NJATO-G0XIWE17MHV8YQFB2394LK95,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,2870,Kilogramos,Atotonilco El Alto; Atoyac; Autlán De Navarro,Honduras,Tegucigalpa,Tegucigalpa,Tegucigalpa,Original,287,,,,4,2,America
1005,Andrea Martínez Méndez,01/01/2020,Internacional,Isabella Rodríguez Molina,18RH4281VPW3-EOI250AS0BN6697GDZTYMX43,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,7346,Kilogramos,Ayotlán; Ayutla; La Barca,Guatemala,Guatemala,Villa Nueva,Villa Nueva,Original,735,,,,4,2,America
1006,Andrea Martínez Méndez,01/01/2020,Internacional,Andrea López Gonzales,721CZKX943M3-S4NLI7JDEQ5A506VY2O9U1P8,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,4118,Kilogramos,Bolaños; Cabo Corrientes; Casimiro Castillo; Cihuatlán; Zapotlán El Grande,Panamá,Panamá,Panamá,Panamá,Original,412,,,,4,2,America
1007,Andrea Martínez Méndez,01/01/2020,Internacional,Sandra Barrera Robles,I4GP2W5V26ZL-3UD96YQ874AE5O9H7MX1CB83,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,8583,Kilogramos,Cocula; Colotlán; Concepción De Buenos,Singapur,Centro Singapur,Singapur,Singapur,Original,858,,,,4,4,Asia
1008,Andrea Martínez Méndez,01/01/2020,Internacional,Berenice Bernardino Padilla,E0Y29WBH6PCK-U7N3JGVLF180RX54QD3I8746,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,8792,Kilogramos,Chapala; Chimaltitán; Cuautitlán De García; Cuautla; Cuquío,E Árabes,Dubai,Dubai,Dubai,Original,879,,,,4,1,Medio Oriente
1009,Andrea Martínez Méndez,01/01/2020,Internacional,Francisco Fernández Villa,80G36PDX1QY4-W9C4IZ0H35TJV7F7U2K98RLN,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,1401,Kilogramos,Chiquilistlán; Degollado,Chile,Valparaíso,Valparaíso,Valparaíso,Original,140,,,,4,2,America
1010,Andrea Martínez Méndez,01/01/2020,Internacional,Isabella Rodríguez Molina,K86OW2LCGFE4-PX3QAS0071DT3NB7184V6529,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,2295,Kilogramos,Ejutla; Encarnación De Díaz,U Europea,Andalucía,Valle-niza,Valle-niza,Original,230,,,,2,3,Europa
1011,Andrea Martínez Méndez,01/01/2020,Internacional,Andrea López Gonzales,K6MCS5W98JO0-9N6U5124BR23T4L0IQF13EYG,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,2910,Kilogramos,El Grullo; Etzatlán,Alemania,Berlin,Berlin,Berlin,Original,291,,,,2,3,Europa
1012,Andrea Martínez Méndez,01/01/2020,Internacional,Sandra Barrera Robles,V895I49X08NA-GJCR210WP3EU7DBO3Y724SH6,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,2177,Kilogramos,Guachinango; Guadalajara; Hostotipaquillo; Huejúcar,España,Algeciras,Algeciras,Algeciras,Original,218,,,,2,3,Europa
1013,Andrea Martínez Méndez,01/01/2020,Internacional,Berenice Bernardino Padilla,2JDM5FQXZNB5-LKI47WYR4A382S70PVH6G989,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,5609,Kilogramos,Huejuquilla El Alto; Ixtlahuacán De Los M; La Huerta,Portugal,Lisboa,Lisboa,Lisboa,Original,561,,,,2,3,Europa
1014,Andrea Martínez Méndez,01/01/2020,Internacional,Francisco Fernández Villa,K8422GPRT3CY-3MVLAX98WN4S0J6OF96ZUIED,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,2812,Kilogramos,Ixtlahuacán Del Río; Jalostotitlán,A Saudita,Dammam ,Dammam ,Dammam ,Original,281,,,,4,1,Medio Oriente
1015,Andrea Martínez Méndez,01/01/2020,Internacional,Isabella Rodríguez Molina,3JL7QHZ91NEM-0140S8KF6P29WGOAD72C45U6,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,6377,Kilogramos,Jamay,Malaysia,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Original,638,,,,4,4,Asia
1016,Andrea Martínez Méndez,01/01/2020,Internacional,Andrea López Gonzales,9JDCS0I50O63-T47UAPRLWN1E7MBF8642G3YK,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,7588,Kilogramos,Jesús María,Uruguay,Uruguay,Montevideo,Montevideo,Original,759,,,,4,2,America
1017,Marco Antonio Trujillo,01/01/2020,Internacional,Sandra Barrera Robles,761U1CPO549H-NR8028FB45JSAGXIK23L9EMV,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,4181,Kilogramos,Jilotlán De Los Dolo,China,Shangai,Shangai,Shangai,Original,418,,,,4,4,Asia
1018,Marco Antonio Trujillo,01/01/2020,Internacional,Berenice Bernardino Padilla,1CYWBL18TKV3-22SAMNJOEX8570R4U705D4Q6,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,2117,Kilogramos,El Limón; Jocotepec; Juanacatlán; Juchitlán; Lagos De Moreno,Canada,Quebec,Montreal,Montreal,Original,212,,,,3,2,America
1019,Marco Antonio Trujillo,01/01/2020,Internacional,Francisco Fernández Villa,Q3O0RZW2J35N-4ICBYD608XHA1F1K96G2L59T,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,8573,Kilogramos,La Manzanilla De La ; Magdalena; Santa María Del Oro,Corea,Seúl,Yeongdeungpo-gu,Yeongdeungpo-gu,Original,857,,,,4,4,Asia
1020,Marco Antonio Trujillo,01/01/2020,Internacional,Isabella Rodríguez Molina,LDOQ6258T8VH-ZPJW0UMG7RB059SAYK34F16N,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,8690,Kilogramos,Mascota; Mazamitla; Mexticacán; Mezquitic,Honduras,Tegucigalpa,Tegucigalpa,Tegucigalpa,Original,869,,,,4,2,America
1021,Marco Antonio Trujillo,01/01/2020,Internacional,Andrea López Gonzales,Y01H7QMEJ2NL-57R25XK93I3DF09WZP68CUTB,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,4996,Kilogramos,Mixtlán; Ocotlán; Ojuelos De Jalisco,Costa Rica,Cártago,Cártago,Cártago,Original,500,,,,4,2,America
1022,Marco Antonio Trujillo,01/01/2020,Internacional,Sandra Barrera Robles,W3SB9P52V0G7-OT1YJUMX4F6DQ5EH4CLA21R8,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,9031,Kilogramos,Pihuamo; Poncitlán; Puerto Vallarta; Quitupan; Villa Purificación,Panamá,Panamá,Panamá,Panamá,Original,903,,,,4,2,America
1023,Marco Antonio Trujillo,01/01/2020,Internacional,Berenice Bernardino Padilla,ZK00CD1OX6NA-S4M8B15IV9Q3L32UW67GP4Y7,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,4800,Kilogramos,El Salto; San Cristóbal De La ,Singapur,Centro Singapur,Singapur,Singapur,Original,480,,,,4,4,Asia
1024,Marco Antonio Trujillo,01/01/2020,Internacional,Francisco Fernández Villa,992M7O8K24Z7-1GX4JBDWU8FA0QN3I3H65LVT,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,3983,Kilogramos,San Diego De Alejand; San Juan De Los Lago; San Julián; San Marcos,E Árabes,Dubai,Dubai,Dubai,Original,398,,,,4,1,Medio Oriente
1025,Marco Antonio Trujillo,01/01/2020,Internacional,Isabella Rodríguez Molina,5YCI2RB43P62-N1T6503GWMHKX9J4FD8L78OS,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,5075,Kilogramos,San Martín De Bolaño; San Martín Hidalgo; San Miguel El Alto,U Europea,Andalucía,Valle-niza,Valle-niza,Original,508,,,,2,3,Europa
1026,Marco Antonio Trujillo,01/01/2020,Internacional,Andrea López Gonzales,6K91A07E9YM0-3BTR8GSI34C2FXZP7Q1H4JVW,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,8858,Kilogramos,Gómez Farías; San Sebastián Del Oe; Santa María De Los á,España,Algeciras,Algeciras,Algeciras,Original,886,,,,2,3,Europa
1027,Marco Antonio Trujillo,01/01/2020,Internacional,Sandra Barrera Robles,77YX8MQP9SNW-UCK2Z598LJF6AET0R315GOD4,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,618,Kilogramos,Sayula; Tala; Talpa De Allende,Qatar,Doha,Doha,Doha,Original,62,,,,4,1,Medio Oriente
1028,David Preciado Aguilar,01/01/2020,Internacional,Berenice Bernardino Padilla,EO20474A2T1J-7L8GIMD03Q1KZ5N9BF3V598Y,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,6482,Kilogramos,Tamazula De Gordiano; Tapalpa; Tecalitlán; Techaluta De Montene; Tecolotlán,Japón,Osaka,Osaka,Osaka,Original,648,,,,1,4,Asia
1029,David Preciado Aguilar,01/01/2020,Internacional,Francisco Fernández Villa,YZF81BHTWS5L-N9Q8O72J5ME2K0DVU1C0X6IA,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,929,Kilogramos,Tenamaxtlán; Teocaltiche,Canada,Quebec,Montreal,Montreal,Original,93,,,,3,2,America
1030,David Preciado Aguilar,01/01/2020,Internacional,Isabella Rodríguez Molina,J5M4S1ED3697-OHF3C5WPA1L226940U8BRYXN,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Hass,Aéreo,8627,Kilogramos,Teocuitatlán De Coro; Tepatitlán De Morelo; Tequila,Reino Unido,Essex,Essex,Essex,Original,863,,,,2,3,Europa
1031,David Preciado Aguilar,01/01/2020,Internacional,Andrea López Gonzales,9WYS24LVTAHG-52F0IJ7B3XM3R1ZK9U6DC687,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Méndez,Marítimo,4891,Kilogramos,Teuchitlán; Tizapán El Alto,Honduras,Tegucigalpa,Tegucigalpa,Tegucigalpa,Original,489,,,,4,2,America
1032,David Preciado Aguilar,01/01/2020,Internacional,Sandra Barrera Robles,3772150JK30C-1Z2MY86T6NR4F9D8VUBXESQP,Alexander Martínez Aguilar,Amenac,Persea americana,Hass,Terrestre,5806,Kilogramos,San Pedro Tlaquepaqu; Tlajomulco De Zúñiga; Tolimán; Tomatlán,Costa Rica,Cártago,Cártago,Cártago,Original,581,,,,4,2,America
1033,David Preciado Aguilar,01/01/2020,Internacional,Berenice Bernardino Padilla,B47EAWMH106D-R9JU8O6P2VTQ97K0F84C1IG3,Martín Herrera Vázquez,Pamfa A.C.,Persea americana,Méndez,Aéreo,6576,Kilogramos,Tonalá; Tonaya,Guatemala,Guatemala,Villa Nueva,Villa Nueva,Original,658,,,,4,2,America
1034,David Preciado Aguilar,01/01/2020,Internacional,Francisco Fernández Villa,P8G7D1FV86I7-40Q6EWU0M5NAC3O3Z514YJLR,Antonio Luis juan Méndez,Siar A.C.,Persea americana,Hass,Marítimo,761,Kilogramos,Tonila; Totatiche; Tototlán; Tuxcacuesco,Rusia,Óblast De Moscú,Moscú,Moscú,Original,76,,,,2,3,Europa
1035,David Preciado Aguilar,01/01/2020,Internacional,Isabella Rodríguez Molina,CW53HS208792-31VJ4E1YXPQO9RU4FGLI0866,Alexander Martínez Aguilar,Amenac,Persea americana,Méndez,Terrestre,4721,Kilogramos,Tuxcueca,Panamá,Panamá,Panamá,Panamá,Original,472,,,,4,2,America
